region	chr	midPos	Nsites
region	chr	midPos	Nsites
(451292,472127)(510306,539999)(510000,540000)	NC_037122.1f5t9	525000	20837	0.076527
(453219,477112)(515002,544999)(515000,545000)	NC_037122.1f5t9	530000	23895	0.082047
(455609,482106)(521473,549993)(520000,550000)	NC_037122.1f5t9	535000	26499	0.088000
(457429,487078)(525000,554999)(525000,555000)	NC_037122.1f5t9	540000	29651	0.089593
(462412,492074)(530000,559999)(530000,560000)	NC_037122.1f5t9	545000	29664	0.086000
(467396,496786)(535000,564999)(535000,565000)	NC_037122.1f5t9	550000	29392	0.080413
(472128,501758)(540000,569999)(540000,570000)	NC_037122.1f5t9	555000	29632	0.077751
(477113,506757)(545000,574999)(545000,575000)	NC_037122.1f5t9	560000	29646	0.066038
(482107,511721)(550022,579999)(550000,580000)	NC_037122.1f5t9	565000	29616	0.052843
(487079,516721)(555000,584999)(555000,585000)	NC_037122.1f5t9	570000	29644	0.052868
(492075,521716)(560000,589999)(560000,590000)	NC_037122.1f5t9	575000	29643	0.055187
(496787,526699)(565000,594999)(565000,595000)	NC_037122.1f5t9	580000	29914	0.048856
(501759,531674)(570000,599999)(570000,600000)	NC_037122.1f5t9	585000	29917	0.041033
(506758,536633)(575000,604999)(575000,605000)	NC_037122.1f5t9	590000	29877	0.028309
(511722,541593)(580000,609999)(580000,610000)	NC_037122.1f5t9	595000	29873	0.030220
(516722,546011)(585000,614999)(585000,615000)	NC_037122.1f5t9	600000	29291	0.031842
(521717,550999)(590000,619999)(590000,620000)	NC_037122.1f5t9	605000	29284	0.035217
(526700,555987)(595000,624999)(595000,625000)	NC_037122.1f5t9	610000	29289	0.036301
(531675,560961)(600000,629999)(600000,630000)	NC_037122.1f5t9	615000	29288	0.035815
(536634,565945)(605000,634999)(605000,635000)	NC_037122.1f5t9	620000	29313	0.038434
(541594,570937)(610000,639999)(610000,640000)	NC_037122.1f5t9	625000	29345	0.036201
(546012,575937)(615000,644999)(615000,645000)	NC_037122.1f5t9	630000	29927	0.034566
(551000,580899)(620000,649999)(620000,650000)	NC_037122.1f5t9	635000	29901	0.028578
(555988,585878)(625000,654999)(625000,655000)	NC_037122.1f5t9	640000	29892	0.027672
(560962,590855)(630000,659999)(630000,660000)	NC_037122.1f5t9	645000	29895	0.014444
(565946,593004)(635000,664999)(635000,665000)	NC_037122.1f5t9	650000	27060	0.015157
(570938,598002)(640000,669999)(640000,670000)	NC_037122.1f5t9	655000	27066	0.015013
(575938,602969)(645000,674999)(645000,675000)	NC_037122.1f5t9	660000	27033	0.014835
(580900,607965)(650000,679999)(650000,680000)	NC_037122.1f5t9	665000	27067	0.014270
(585879,612960)(655000,684999)(655000,685000)	NC_037122.1f5t9	670000	27083	0.022357
(590856,617960)(660000,689999)(660000,690000)	NC_037122.1f5t9	675000	27106	0.050388
(593005,622927)(665000,694999)(665000,695000)	NC_037122.1f5t9	680000	29924	0.035539
(598003,627926)(670000,699999)(670000,700000)	NC_037122.1f5t9	685000	29925	0.034174
(602970,632924)(675000,704999)(675000,705000)	NC_037122.1f5t9	690000	29956	0.033937
(607966,637915)(680000,709999)(680000,710000)	NC_037122.1f5t9	695000	29951	0.033595
(612961,642900)(685000,714999)(685000,715000)	NC_037122.1f5t9	700000	29941	0.021610
(617961,647885)(690000,719999)(690000,720000)	NC_037122.1f5t9	705000	29926	0.023231
(622928,652857)(695000,724999)(695000,725000)	NC_037122.1f5t9	710000	29931	0.032022
(627927,657835)(700000,729999)(700000,730000)	NC_037122.1f5t9	715000	29910	0.036713
(632925,662791)(705000,734999)(705000,735000)	NC_037122.1f5t9	720000	29868	0.038570
(637916,667770)(710000,739999)(710000,740000)	NC_037122.1f5t9	725000	29856	0.039361
(642901,672757)(715000,744999)(715000,745000)	NC_037122.1f5t9	730000	29858	0.043648
(647886,677744)(720000,749999)(720000,750000)	NC_037122.1f5t9	735000	29860	0.048505
(652858,682689)(725000,754999)(725000,755000)	NC_037122.1f5t9	740000	29833	0.046292
(657836,687676)(730000,759999)(730000,760000)	NC_037122.1f5t9	745000	29842	0.045358
(662792,692635)(735000,764999)(735000,765000)	NC_037122.1f5t9	750000	29845	0.041699
(667771,697631)(740000,769999)(740000,770000)	NC_037122.1f5t9	755000	29862	0.042624
(672758,702582)(745000,774970)(745000,775000)	NC_037122.1f5t9	760000	29826	0.037884
(677745,707519)(750000,779999)(750000,780000)	NC_037122.1f5t9	765000	29776	0.035191
(682690,712515)(755000,784999)(755000,785000)	NC_037122.1f5t9	770000	29827	0.031058
(687677,717514)(760000,789999)(760000,790000)	NC_037122.1f5t9	775000	29839	0.022977
(692636,722507)(765000,794999)(765000,795000)	NC_037122.1f5t9	780000	29873	0.021281
(697632,727497)(770000,799999)(770000,800000)	NC_037122.1f5t9	785000	29867	0.030411
(702583,732492)(775051,804999)(775000,805000)	NC_037122.1f5t9	790000	29911	0.030838
(707520,737486)(780000,809999)(780000,810000)	NC_037122.1f5t9	795000	29968	0.029739
(712516,740490)(785000,814859)(785000,815000)	NC_037122.1f5t9	800000	27976	0.030586
(717515,744639)(790000,819999)(790000,820000)	NC_037122.1f5t9	805000	27126	0.031463
(722508,749633)(795000,824999)(795000,825000)	NC_037122.1f5t9	810000	27127	0.031307
(727498,754618)(800000,829999)(800000,830000)	NC_037122.1f5t9	815000	27122	0.024433
(732493,759572)(805000,834999)(805000,835000)	NC_037122.1f5t9	820000	27081	0.022797
(737487,764559)(810000,839999)(810000,840000)	NC_037122.1f5t9	825000	27074	0.024730
(740491,769559)(815413,844999)(815000,845000)	NC_037122.1f5t9	830000	29070	0.024493
(744640,774556)(820000,849999)(820000,850000)	NC_037122.1f5t9	835000	29918	0.035436
(749634,779550)(825000,854999)(825000,855000)	NC_037122.1f5t9	840000	29918	0.042381
(754619,784550)(830000,859999)(830000,860000)	NC_037122.1f5t9	845000	29933	0.043881
(759573,789537)(835000,864999)(835000,865000)	NC_037122.1f5t9	850000	29966	0.049400
(764560,794528)(840000,869999)(840000,870000)	NC_037122.1f5t9	855000	29970	0.048427
(769560,799528)(845000,874999)(845000,875000)	NC_037122.1f5t9	860000	29970	0.049750
(774557,804527)(850000,879999)(850000,880000)	NC_037122.1f5t9	865000	29972	0.036766
(779551,809446)(855000,884999)(855000,885000)	NC_037122.1f5t9	870000	29897	0.034412
(784551,814446)(860000,889999)(860000,890000)	NC_037122.1f5t9	875000	29897	0.041237
(789538,819446)(865000,894999)(865000,895000)	NC_037122.1f5t9	880000	29910	0.045937
(794529,824444)(870000,899999)(870000,900000)	NC_037122.1f5t9	885000	29917	0.057196
(799529,829417)(875000,904999)(875000,905000)	NC_037122.1f5t9	890000	29890	0.054730
(804528,834417)(880000,909999)(880000,910000)	NC_037122.1f5t9	895000	29891	0.057143
(809447,839407)(885000,914999)(885000,915000)	NC_037122.1f5t9	900000	29962	0.055879
(814447,844102)(890000,919999)(890000,920000)	NC_037122.1f5t9	905000	29657	0.051233
(819447,849099)(895000,924999)(895000,925000)	NC_037122.1f5t9	910000	29654	0.042542
(824445,854099)(900000,929999)(900000,930000)	NC_037122.1f5t9	915000	29656	0.025101
(829418,859071)(905000,934999)(905000,935000)	NC_037122.1f5t9	920000	29655	0.028715
(834418,864060)(910000,939999)(910000,940000)	NC_037122.1f5t9	925000	29644	0.026834
(839408,869024)(915000,944999)(915000,945000)	NC_037122.1f5t9	930000	29618	0.027036
(844103,874014)(920000,949999)(920000,950000)	NC_037122.1f5t9	935000	29913	0.022820
(849100,878979)(925000,954999)(925000,955000)	NC_037122.1f5t9	940000	29881	0.023833
(854100,883975)(930000,959999)(930000,960000)	NC_037122.1f5t9	945000	29877	0.030509
(859072,888973)(935000,964999)(935000,965000)	NC_037122.1f5t9	950000	29903	0.037068
(864061,893955)(940000,969999)(940000,970000)	NC_037122.1f5t9	955000	29896	0.042558
(869025,898953)(945000,974999)(945000,975000)	NC_037122.1f5t9	960000	29930	0.041958
(874015,903949)(950000,979999)(950000,980000)	NC_037122.1f5t9	965000	29936	0.054019
(878980,908828)(955000,984999)(955000,985000)	NC_037122.1f5t9	970000	29850	0.064924
(883976,913795)(960000,989999)(960000,990000)	NC_037122.1f5t9	975000	29821	0.060580
(888974,918795)(965000,994999)(965000,995000)	NC_037122.1f5t9	980000	29823	0.071461
(893956,923786)(970000,999999)(970000,1000000)	NC_037122.1f5t9	985000	29832	0.068321
(898954,928777)(975000,1004999)(975000,1005000)	NC_037122.1f5t9	990000	29825	0.068874
(903950,933772)(980000,1009999)(980000,1010000)	NC_037122.1f5t9	995000	29824	0.061044
(908829,938763)(985000,1014999)(985000,1015000)	NC_037122.1f5t9	1000000	29936	0.039287
(913796,943763)(990000,1019999)(990000,1020000)	NC_037122.1f5t9	1005000	29969	0.037809
(918796,948763)(995000,1024999)(995000,1025000)	NC_037122.1f5t9	1010000	29969	0.036873
(923787,953758)(1000000,1029999)(1000000,1030000)	NC_037122.1f5t9	1015000	29973	0.035971
(928778,958758)(1005000,1034999)(1005000,1035000)	NC_037122.1f5t9	1020000	29982	0.033193
(933773,963752)(1010000,1039999)(1010000,1040000)	NC_037122.1f5t9	1025000	29981	0.033835
(938764,968471)(1015000,1044999)(1015000,1045000)	NC_037122.1f5t9	1030000	29709	0.046521
(943764,973464)(1020000,1049999)(1020000,1050000)	NC_037122.1f5t9	1035000	29702	0.034368
(948764,978461)(1025000,1054999)(1025000,1055000)	NC_037122.1f5t9	1040000	29699	0.020947
(953759,983452)(1030000,1059999)(1030000,1060000)	NC_037122.1f5t9	1045000	29695	0.021425
(958759,988446)(1035000,1064999)(1035000,1065000)	NC_037122.1f5t9	1050000	29689	0.023455
(963753,993439)(1040000,1069999)(1040000,1070000)	NC_037122.1f5t9	1055000	29688	0.022842
(968472,998439)(1045000,1074999)(1045000,1075000)	NC_037122.1f5t9	1060000	29969	0.019718
(973465,1003402)(1050000,1079999)(1050000,1080000)	NC_037122.1f5t9	1065000	29939	0.029203
(978462,1007655)(1055000,1084919)(1055000,1085000)	NC_037122.1f5t9	1070000	29195	0.035586
(983453,1008604)(1060000,1089398)(1060000,1090000)	NC_037122.1f5t9	1075000	25153	0.039261
(988447,1011978)(1065000,1094999)(1065000,1095000)	NC_037122.1f5t9	1080000	23533	0.032248
(993440,1016966)(1070000,1099999)(1070000,1100000)	NC_037122.1f5t9	1085000	23528	0.035379
(998440,1021931)(1075000,1104999)(1075000,1105000)	NC_037122.1f5t9	1090000	23493	0.031895
(1003403,1026931)(1080000,1109999)(1080000,1110000)	NC_037122.1f5t9	1095000	23530	0.037199
(1007656,1028705)(1085321,1111779)(1085000,1115000)	NC_037122.1f5t9	1100000	21051	0.033073
(1008605,1029035)(1091564,1119999)(1090000,1120000)	NC_037122.1f5t9	1105000	20432	0.029608
(1011979,1029090)(1095000,1120056)(1095000,1125000)	NC_037122.1f5t9	1110000	17113	0.035528
(1016967,1031682)(1100000,1129999)(1100000,1130000)	NC_037122.1f5t9	1115000	14717	0.032458
(1021932,1036679)(1105000,1134999)(1105000,1135000)	NC_037122.1f5t9	1120000	14749	0.026086
(1026932,1041679)(1110000,1139999)(1110000,1140000)	NC_037122.1f5t9	1125000	14749	0.027595
(1028706,1046659)(1117289,1144999)(1115000,1145000)	NC_037122.1f5t9	1130000	17955	0.030737
(1029036,1051659)(1120000,1149999)(1120000,1150000)	NC_037122.1f5t9	1135000	22625	0.029776
(1029091,1056649)(1127408,1154999)(1125000,1155000)	NC_037122.1f5t9	1140000	27560	0.027138
(1031683,1061544)(1130000,1159999)(1130000,1160000)	NC_037122.1f5t9	1145000	29863	0.028116
(1036680,1066541)(1135000,1164999)(1135000,1165000)	NC_037122.1f5t9	1150000	29863	0.031317
(1041680,1070616)(1140000,1169999)(1140000,1170000)	NC_037122.1f5t9	1155000	28938	0.032099
(1046660,1075612)(1145000,1174999)(1145000,1175000)	NC_037122.1f5t9	1160000	28954	0.030856
(1051660,1080612)(1150000,1179999)(1150000,1180000)	NC_037122.1f5t9	1165000	28954	0.031609
(1056650,1085612)(1155000,1184999)(1155000,1185000)	NC_037122.1f5t9	1170000	28964	0.036702
(1061545,1090612)(1160000,1189999)(1160000,1190000)	NC_037122.1f5t9	1175000	29069	0.034755
(1066542,1095599)(1165000,1194999)(1165000,1195000)	NC_037122.1f5t9	1180000	29059	0.028563
(1070617,1100587)(1170000,1199999)(1170000,1200000)	NC_037122.1f5t9	1185000	29972	0.025880
(1075613,1105549)(1175000,1204999)(1175000,1205000)	NC_037122.1f5t9	1190000	29938	0.031231
(1080613,1110520)(1180000,1209999)(1180000,1210000)	NC_037122.1f5t9	1195000	29909	0.032080
(1085613,1115510)(1185000,1214999)(1185000,1215000)	NC_037122.1f5t9	1200000	29899	0.032408
(1090613,1119159)(1190000,1219999)(1190000,1220000)	NC_037122.1f5t9	1205000	28548	0.036988
(1095600,1124155)(1195000,1224999)(1195000,1225000)	NC_037122.1f5t9	1210000	28557	0.043457
(1100588,1129150)(1200000,1229999)(1200000,1230000)	NC_037122.1f5t9	1215000	28564	0.041910
(1105550,1134150)(1205000,1234999)(1205000,1235000)	NC_037122.1f5t9	1220000	28602	0.043686
(1110521,1139150)(1210000,1239999)(1210000,1240000)	NC_037122.1f5t9	1225000	28631	0.043452
(1115511,1144146)(1215000,1244999)(1215000,1245000)	NC_037122.1f5t9	1230000	28637	0.052097
(1119160,1149138)(1220000,1249999)(1220000,1250000)	NC_037122.1f5t9	1235000	29980	0.054498
(1124156,1154137)(1225000,1254999)(1225000,1255000)	NC_037122.1f5t9	1240000	29983	0.042282
(1129151,1159096)(1230000,1259999)(1230000,1260000)	NC_037122.1f5t9	1245000	29947	0.040241
(1134151,1164086)(1235000,1264999)(1235000,1265000)	NC_037122.1f5t9	1250000	29937	0.036920
(1139151,1169070)(1240000,1269999)(1240000,1270000)	NC_037122.1f5t9	1255000	29921	0.036882
(1144147,1172501)(1245000,1274999)(1245000,1275000)	NC_037122.1f5t9	1260000	28356	0.022930
(1149139,1177379)(1250000,1279999)(1250000,1280000)	NC_037122.1f5t9	1265000	28242	0.021037
(1154138,1182211)(1255000,1284999)(1255000,1285000)	NC_037122.1f5t9	1270000	28075	0.047897
(1159097,1187211)(1260000,1289999)(1260000,1290000)	NC_037122.1f5t9	1275000	28116	0.050922
(1164087,1192211)(1265000,1294999)(1265000,1295000)	NC_037122.1f5t9	1280000	28126	0.057415
(1169071,1197208)(1270000,1299999)(1270000,1300000)	NC_037122.1f5t9	1285000	28139	0.048495
(1172502,1202176)(1275000,1304999)(1275000,1305000)	NC_037122.1f5t9	1290000	29676	0.053869
(1177380,1207171)(1280000,1309999)(1280000,1310000)	NC_037122.1f5t9	1295000	29793	0.055285
(1182212,1212149)(1285000,1314999)(1285000,1315000)	NC_037122.1f5t9	1300000	29939	0.049534
(1187212,1217144)(1290000,1319999)(1290000,1320000)	NC_037122.1f5t9	1305000	29934	0.047420
(1192212,1222016)(1295000,1324999)(1295000,1325000)	NC_037122.1f5t9	1310000	29806	0.039816
(1197209,1226880)(1300000,1329999)(1300000,1330000)	NC_037122.1f5t9	1315000	29673	0.046184
(1202177,1231737)(1305000,1334999)(1305000,1335000)	NC_037122.1f5t9	1320000	29562	0.036770
(1207172,1236662)(1310000,1339999)(1310000,1340000)	NC_037122.1f5t9	1325000	29492	0.027499
(1212150,1241653)(1315000,1344999)(1315000,1345000)	NC_037122.1f5t9	1330000	29505	0.024434
(1217145,1246645)(1320000,1349999)(1320000,1350000)	NC_037122.1f5t9	1335000	29502	0.019298
(1222017,1251642)(1325000,1354999)(1325000,1355000)	NC_037122.1f5t9	1340000	29627	0.020077
(1226881,1256642)(1330000,1359999)(1330000,1360000)	NC_037122.1f5t9	1345000	29763	0.018522
(1231738,1260909)(1335000,1364999)(1335000,1365000)	NC_037122.1f5t9	1350000	29173	0.018708
(1236663,1265867)(1340000,1369999)(1340000,1370000)	NC_037122.1f5t9	1355000	29206	0.016795
(1241654,1270792)(1345000,1374999)(1345000,1375000)	NC_037122.1f5t9	1360000	29140	0.022170
(1246646,1275792)(1350000,1379999)(1350000,1380000)	NC_037122.1f5t9	1365000	29148	0.037111
(1251643,1279145)(1355000,1384409)(1355000,1385000)	NC_037122.1f5t9	1370000	27504	0.039808
(1256643,1282848)(1360000,1389999)(1360000,1390000)	NC_037122.1f5t9	1375000	26207	0.046584
(1260910,1287830)(1365000,1394999)(1365000,1395000)	NC_037122.1f5t9	1380000	26922	0.048545
(1265868,1292824)(1370000,1399999)(1370000,1400000)	NC_037122.1f5t9	1385000	26958	0.050747
(1270793,1295472)(1375000,1404999)(1375000,1405000)	NC_037122.1f5t9	1390000	24681	0.044628
(1275793,1300470)(1380000,1409999)(1380000,1410000)	NC_037122.1f5t9	1395000	24679	0.046065
(1279146,1305204)(1385115,1414999)(1385000,1415000)	NC_037122.1f5t9	1400000	26060	0.044775
(1282849,1310203)(1390000,1419999)(1390000,1420000)	NC_037122.1f5t9	1405000	27356	0.042431
(1287831,1315196)(1395000,1424999)(1395000,1425000)	NC_037122.1f5t9	1410000	27367	0.045486
(1292825,1320176)(1400000,1429999)(1400000,1430000)	NC_037122.1f5t9	1415000	27353	0.052744
(1295473,1325176)(1405000,1434999)(1405000,1435000)	NC_037122.1f5t9	1420000	29705	0.058747
(1300471,1330165)(1410000,1439999)(1410000,1440000)	NC_037122.1f5t9	1425000	29696	0.059442
(1305205,1335154)(1415000,1444999)(1415000,1445000)	NC_037122.1f5t9	1430000	29951	0.053133
(1310204,1339542)(1420000,1449999)(1420000,1450000)	NC_037122.1f5t9	1435000	29340	0.050628
(1315197,1344536)(1425000,1454999)(1425000,1455000)	NC_037122.1f5t9	1440000	29341	0.047669
(1320177,1349534)(1430000,1459999)(1430000,1460000)	NC_037122.1f5t9	1445000	29359	0.039484
(1325177,1354493)(1435000,1464999)(1435000,1465000)	NC_037122.1f5t9	1450000	29318	0.034853
(1330166,1357053)(1440000,1468837)(1440000,1470000)	NC_037122.1f5t9	1455000	26889	0.030661
(1335155,1360700)(1445000,1474999)(1445000,1475000)	NC_037122.1f5t9	1460000	25547	0.039408
(1339543,1365626)(1450000,1479999)(1450000,1480000)	NC_037122.1f5t9	1465000	26085	0.042601
(1344537,1370613)(1455000,1484999)(1455000,1485000)	NC_037122.1f5t9	1470000	26078	0.038086
(1349535,1375613)(1460000,1489999)(1460000,1490000)	NC_037122.1f5t9	1475000	26080	0.030825
(1354494,1380600)(1465000,1494999)(1465000,1495000)	NC_037122.1f5t9	1480000	26108	0.025917
(1357054,1385598)(1470736,1499999)(1470000,1500000)	NC_037122.1f5t9	1485000	28546	0.028316
(1360701,1390590)(1475000,1504999)(1475000,1505000)	NC_037122.1f5t9	1490000	29891	0.030499
